attendance,assignment_avg,quiz_avg,engagement,previous_score,risk
58,86,57,56,88,Low
65,46,60,88,78,Medium
42,76,44,57,46,Medium
58,52,86,60,89,Low
59,43,97,81,74,Low
71,95,50,79,98,Low
46,80,90,33,61,Medium
91,67,97,21,73,Low
80,93,97,89,94,Low
72,67,64,36,37,Medium
79,79,41,47,72,Medium
78,59,25,85,30,Medium
57,80,85,54,80,Low
79,92,67,24,53,Low
40,81,66,84,53,Medium
50,67,49,59,46,Medium
67,59,63,95,34,Low
96,80,59,75,49,Low
64,34,27,55,50,Medium
89,58,68,64,87,Low
62,33,75,42,60,Medium
70,39,36,66,40,Medium
69,85,43,50,81,Medium
81,46,68,30,44,Medium
74,46,83,29,36,Medium
46,98,73,86,57,Low
99,63,85,33,80,Low
55,35,41,99,87,Medium
65,82,98,93,34,Low
87,95,81,29,34,Low
96,72,79,95,37,Low
91,52,71,20,93,Low
99,84,36,24,39,Medium
88,45,86,39,67,Medium
41,37,32,27,37,High
40,33,45,62,54,Medium
87,33,94,95,95,Low
51,85,96,20,79,Low
44,54,49,76,96,Medium
76,96,36,83,78,Low
71,96,39,47,65,Medium
98,56,83,56,97,Low
94,61,50,66,70,Low
48,79,50,95,91,Low
80,90,71,56,39,Low
74,80,56,68,50,Low
58,48,34,63,65,Medium
87,50,40,75,41,Medium
55,34,95,47,31,Medium
42,71,41,98,42,Medium
59,90,47,25,82,Medium
63,51,50,80,61,Medium
93,50,31,39,45,Medium
95,99,38,97,61,Low
72,30,31,21,61,Medium
63,34,33,92,40,Medium
91,41,72,56,39,Medium
50,75,96,39,44,Medium
88,63,83,45,46,Low
47,78,63,48,69,Medium
75,74,42,20,47,Medium
77,56,83,54,84,Low
79,55,41,89,54,Low
59,76,38,78,88,Medium
74,85,55,88,51,Low
87,92,48,52,59,Low
64,77,84,70,73,Low
74,90,69,97,61,Low
64,55,27,31,80,Medium
68,65,61,39,75,Medium
57,30,67,72,50,Medium
85,37,64,62,61,Medium
57,81,79,69,68,Low
41,76,63,48,41,Medium
93,85,39,76,76,Low
74,43,28,58,47,Medium
55,57,49,75,50,Medium
100,31,37,62,42,Medium
80,55,57,69,50,Medium
75,43,40,42,37,Medium
72,88,66,63,75,Low
43,85,90,57,36,Medium
72,36,79,42,52,Medium
53,32,66,64,51,Medium
60,52,58,71,51,Medium
87,47,54,99,58,Low
59,67,37,69,42,Medium
95,44,37,27,31,Medium
47,93,42,20,58,Medium
46,57,56,27,81,Medium
42,68,63,48,56,Medium
56,86,70,24,79,Low
72,46,53,66,52,Low
87,73,86,53,73,Low
51,54,86,84,51,Medium
98,46,81,74,72,Low
90,42,40,62,66,Low
61,54,80,93,90,Low
94,97,34,49,85,Low
61,39,54,36,32,Medium
85,96,49,45,92,Medium
69,47,29,27,48,Medium
77,63,89,66,52,Low
77,37,73,95,58,Low
84,69,27,91,59,Medium
90,71,69,65,68,Low
93,70,38,87,54,Low
47,35,54,52,37,Medium
66,81,92,20,87,Low
66,55,42,38,45,Medium
73,93,86,50,30,Low
60,88,61,99,34,Low
69,85,49,33,32,Medium
72,88,72,72,94,Low
67,99,89,67,33,Low
86,62,77,88,93,Low
72,82,97,81,39,Low
44,51,39,85,50,Medium
99,50,73,83,75,Low
100,99,92,89,56,Low
87,99,36,82,95,Low
58,33,83,92,70,Medium
43,91,61,52,42,Low
74,91,85,60,38,Medium
88,53,67,67,65,Low
56,84,94,32,87,Low
83,38,63,92,83,Low
67,32,80,96,41,Medium
69,60,87,50,43,Medium
68,69,70,94,63,Low
85,65,35,87,82,Low
92,53,86,23,49,Low
45,35,49,38,45,High
74,95,95,89,99,Low
99,33,76,32,85,Low
80,35,28,42,87,Medium
76,80,83,94,33,Low
63,91,96,20,33,Low
68,86,44,73,49,Medium
88,95,87,90,39,Low
85,37,78,34,53,Medium
92,55,98,84,55,Low
70,80,81,95,66,Low
74,74,65,90,83,Low
99,73,27,34,50,Low
72,34,30,40,67,Medium
91,99,29,38,75,Low
100,55,29,79,33,Low
60,97,78,52,89,Low
71,48,71,68,86,Medium
62,49,73,54,74,Medium
72,41,33,63,49,Medium
42,76,44,30,46,Medium
57,30,85,91,100,Low
64,43,59,97,33,Medium
81,93,74,93,43,Low
70,67,86,85,32,Low
93,66,41,65,87,Low
97,40,27,28,84,Medium
42,32,56,22,33,High
79,62,37,45,53,Medium
85,35,97,91,63,Low
63,79,92,67,59,Low
89,39,38,85,48,Low
71,34,35,89,60,Medium
86,52,80,47,89,Low
61,39,91,45,89,Low
62,73,53,44,48,Medium
41,31,33,31,78,High
66,42,91,24,92,Low
81,69,49,67,51,Low
41,31,100,56,53,Medium
65,94,66,98,59,Low
56,92,33,63,87,Low
79,46,64,34,60,Medium
72,38,49,62,93,Medium
48,44,29,67,48,Medium
82,53,35,89,77,Low
93,67,83,65,74,Low
87,64,62,62,84,Low
78,78,96,40,84,Low
68,98,29,42,47,Medium
81,91,72,99,92,Low
94,89,42,66,76,Low
